n_processo;assunto;status;data_deferimento;tipo_de_localizacao;localizacao;endereco;cep;distrito;subprefeitura;categoria_uso;numero_documento;certf_conclusao_tipo;area_objeto_certf_concl
1020.2022/0021054-9;Certificado de Conclusão;deferido;18/03/2024 16:44:45;SQL;078.035.0031-5;RUA EVANDRO DANTON FERREIRA GANDRA, 71, VILA MANGALOT;05131100;VILA MANGALOT;;R2h, R2h-1;22083-22-SP-CCE;Totalmente;445.06
1020.2022/0020845-5;Certificado de Conclusão;deferido;11/01/2023 18:55:52;SQL;058.197.0022-8;R   SABAUDIA, 234, PENHA;03552050;PE - PENHA;;HIS;22086-22-SP-CCE;Totalmente;1556.95
1020.2022/0020739-4;Certificado de Conclusão;deferido;24/01/2023 12:39:43;SQL;069.029.0015-9;Rua Lagoa Verde,  177,  Vila Paulicéia;02302000; Vila Paulicéia;;HIS;22090-22-SP-CCE;Totalmente;556.38
1020.2022/0021062-0;Certificado de Conclusão;deferido;16/01/2023 16:01:25;SQL;125.050.0002-5;RUA CRACAS , 28, JARDIM CIDADE PIRITUBA;02940030;JARDIM CIDADE PIRITUBA;;R2h, R2h-1;22093-22-SP-CCE;Totalmente;396
1020.2022/0020745-9;Certificado de Conclusão;deferido;10/11/2022 16:11:57;SQL, SQL, SQL;020.002.0001-1, 020.002.0001-1, 020.002.0001-1;Avenida Doutor Abrahão Ribeiro, s/nº, Barra Funda, Rua Norma Pieruccini Giannotti, s/nº, Barra Funda, Rua do Bosque, 1088, Barra Funda;01133020, 01137010, 01136000;Barra Funda, Barra Funda, Barra Funda;;;22117-22-SP-CCE;Parcialmente;
1020.2022/0021064-6;Certificado de Conclusão;deferido;30/12/2022 12:23:02;SQL;078.394.0013-2;Rua João Oliveira Carmo, 278, Lote 13 Quadra V, Jardim Felicidade;05123010;Jardim Felicidade;;R2h, R2h-1;22152-22-SP-CCE;Totalmente;288.45
1020.2022/0020846-3;Certificado de Conclusão;deferido;24/01/2023 13:42:43;SQL;067.272.0039-4;Rua Murilo Furtado, 300, PARQUE VITÓRIA;02270000;PARQUE VITÓRIA;;HIS;22171-22-SP-CCE;Totalmente;823.29
1020.2022/0021010-7;Certificado de Conclusão;deferido;10/11/2022 12:50:12;SQL;065.002.0111-6;AV. CONCEIÇÃO, 3628, VILA MARIA;02135001;VILA MARIA;;HIS;22172-22-SP-CCE;Totalmente;352.9
1020.2022/0020857-9;Certificado de Conclusão;deferido;29/03/2023 18:15:47;SQL;061.008.0009-8;RUA CAQUITO , 158, PENHA ;03607000;PENHA ;;HIS;22185-22-SP-CCE;Totalmente;779.08
1020.2022/0021188-0;Certificado de Conclusão;deferido;16/02/2023 15:40:28;SQL;134.213.0024-1;RUA FRANCISCO FAUSTINO X RUA CACHOEIRA ALTA, 95, VILA MELO;08120130;VILA MELO;;R2h, R2h-1;22188-22-SP-CCE;Totalmente;330
1020.2022/0020847-1;Certificado de Conclusão;deferido;30/05/2023 18:20:03;SQL;113.454.0025-9;R   PARATIBA, 60, JARDIM NORDESTE;03688010;PE - PENHA;;HIS;22195-22-SP-CCE;Totalmente;315.8
1020.2022/0021189-8;Certificado de Conclusão;deferido;16/06/2023 16:47:45;SQL;051.289.0010-1;RUA PADRE RAIMUNDO DA SILVA, 112, VILA CALIDORNIA;03214000;VILA CALIDORNIA;;R2h, R2h-1;22210-22-SP-CCE;Totalmente;306.84
1020.2022/0021245-2;Certificado de Conclusão;deferido;08/12/2022 19:15:20;SQL;015.040.0003-1;AVENIDA REBOUÇAS, 2516, JARDIM AMÉRICA;05402400;JARDIM AMÉRICA;;nR1, nR1-3;22266-22-SP-CCE;Parcialmente;455.62
1020.2022/0021282-7;Certificado de Conclusão;deferido;06/06/2023 16:34:48;SQL;113.108.0011-0;RUA ÂNGELO PEREIRA, 169, VILA TALARICO - SUBDISTRITO VILA MATILDE;03534140;VILA TALARICO - SUBDISTRITO VILA MATILDE;;R2h, R2h-1;22330-22-SP-CCE;Totalmente;151.2
1020.2022/0021084-0;Certificado de Conclusão;deferido;17/11/2022 19:54:58;SQL;069.133.0088-3;Rua Antônio Clemente, 262, Jardim São Paulo(Zona Norte);02039020;Jardim São Paulo(Zona Norte);;HIS;22334-22-SP-CCE;Totalmente;619.45
1020.2022/0021291-6;Certificado de Conclusão;deferido;05/01/2023 15:01:38;SQL;068.412.0005-5;RUA GEOLANDIA, 810, VILA MEDEIROS;02217000;VILA MEDEIROS;;R2h, R2h-1;22336-22-SP-CCE;Totalmente;274.94
1020.2022/0021540-0;Certificado de Conclusão;deferido;21/11/2022 16:23:50;SQL;066.113.0005-8;RUA ALVES LIMA, 154, JARDIM BRASIL;02223140;JARDIM BRASIL;;R2h, R2h-1;22415-22-SP-CCE;Totalmente;197.4
1020.2022/0021212-6;Certificado de Conclusão;deferido;17/11/2022 20:26:58;SQL;199.086.0036-1;RUA CARLOS ALBERTO VANZOLINI , 466, VILA DOS REMÉDIOS;05103060;VILA DOS REMÉDIOS;;HIS;22416-22-SP-CCE;Totalmente;570.15
1020.2022/0021742-0;Certificado de Conclusão;deferido;13/02/2023 14:22:53;SQL;118.270.0004-9;Rua Manuel da Costa, 51, Vila Darli;03262000;Vila Darli;;R2h, R2h-1;22458-22-SP-CCE;Totalmente;290.92
1020.2022/0021633-4;Certificado de Conclusão;deferido;24/01/2023 13:33:43;SQL;139.095.0008-1;Rua Socorozeiro, 41, São Miguel Paulista;08042330;São Miguel Paulista;;R2h, R2h-1;22490-22-SP-CCE;Totalmente;252.14
1020.2022/0021324-6;Certificado de Conclusão;deferido;03/02/2023 13:44:14;SQL;051.214.0047-0;RUA DOS MUNICIPIOS, 334, VILA CALIFÓRNIA;03216000;VILA CALIFÓRNIA;;HIS;22491-22-SP-CCE;Totalmente;329.08
1020.2022/0021560-5;Certificado de Conclusão;deferido;22/03/2023 18:57:37;SQL;051.059.0016-2;R   BAIA GRANDE, 258, VILA PRUDENTE;03202000;VP - VILA PRUDENTE;;HIS;22502-22-SP-CCE;Totalmente;174.54
1020.2022/0021834-5;Certificado de Conclusão;deferido;09/01/2023 11:00:33;SQL;041.132.0610-4;AVENIDA SANTO AMARO, 2163, VILA NOVA CONCEIÇÃO;04505004;VILA NOVA CONCEIÇÃO;;nR1, nR1-6;22521-22-SP-CCE;Totalmente;5.14
1020.2022/0021509-5;Certificado de Conclusão;deferido;03/03/2023 18:20:48;SQL;112.363.0001-6;R PROF  JOAQUIM DE CAMARGO, 128, São Miguel;08011320;MP - SÃO MIGUEL PAULISTA;;HIS;22560-22-SP-CCE;Totalmente;674.04
1020.2022/0021986-4;Certificado de Conclusão;deferido;23/02/2024 17:00:52;SQL;062.025.0239-8;Rua Ulisses Cruz, 1262, Tatuapé;03077000;Tatuapé;;nR1, nR1-15;22573-22-SP-CCE;Totalmente;268.5
1020.2022/0021513-3;Certificado de Conclusão;deferido;02/03/2023 15:39:38;SQL;140.374.0033-1;AV   LARANJA DA CHINA, 487, JD DAS CAMELIAS;08050710;MP - SÃO MIGUEL PAULISTA;;HIS;22583-22-SP-CCE;Totalmente;272.7
1020.2022/0021514-1;Certificado de Conclusão;deferido;14/03/2023 16:48:01;SQL;149.011.0007-5;"R   ARAO REIS, 209, 205 - Lote 02 da Quadra ""E"", JD SAO CRISTOVAO";03930000;SM - SÃO MATEUS;;HIS;22597-22-SP-CCE;Totalmente;543.31
1020.2022/0021553-2;Certificado de Conclusão;deferido;19/12/2022 18:01:18;SQL;116.338.0007-4;"R   BANHARAO, 205, Lote 44 da Quadra ""90"", Vila Formosa";03366070;AR - ARICANDUVA;;HIS, HMP;22603-22-SP-CCE;Totalmente;1090.47
1020.2022/0021842-6;Certificado de Conclusão;deferido;16/02/2023 12:35:53;SQL;118.511.0027-9;Rua Luis Romanini, 137, Parque São Lucas;03266060;Parque São Lucas;;R2h, R2h-1;22613-22-SP-CCE;Totalmente;181.32
1020.2022/0021845-0;Certificado de Conclusão;deferido;05/01/2023 16:26:37;SQL, SQL;166.100.0003-3, 166.100.0004-1;Rua Gaspar dos Reis, 3, Jardim Lidia, Rua Gaspar dos Reis, 4, Jardim Lidia;05862190, 05862190;Jardim Lidia, Jardim Lidia;;R2h, R2h-1;22628-22-SP-CCE;Totalmente;533.96
1020.2022/0021853-1;Certificado de Conclusão;deferido;13/03/2023 20:58:21;SQL;055.145.0073-1;Rua Lutecia, 1811, Vila Santa Isabel;03423000;Vila Santa Isabel;;R2h, R2h-1;22670-22-SP-CCE;Totalmente;256.02
1020.2022/0021647-4;Certificado de Conclusão;deferido;14/04/2023 16:17:43;SQL;044.108.0046-9;R   MANAIAS, 123, Vila Prudente;03140040;VP - VILA PRUDENTE;;HIS;22671-22-SP-CCE;Totalmente;531.6
1020.2022/0021646-6;Certificado de Conclusão;deferido;03/03/2023 18:35:54;SQL, SQL;113.026.0036-1, 113.026.0037-1;R   SABAUDIA, 61, CIDADE PATRIARCA, R   SABAUDIA, 63, CIDADE PATRIARCA;03552050, 03552050;PE - PENHA, PE - PENHA;;HIS;22672-22-SP-CCE;Totalmente;1141.25
1020.2022/0021766-7;Certificado de Conclusão;deferido;13/01/2023 16:54:50;SQL;055.195.0084-3;Rua Ibaiti, 87, Vila Mafra;03414150;Vila Mafra;;HIS;22750-22-SP-CCE;Totalmente;618.64
1020.2022/0021763-2;Certificado de Conclusão;deferido;24/11/2022 10:30:13;SQL, SQL, SQL;010.034.0704-8, 010.034.0705-6, 010.034.0706-4;Rua Frei Caneca, 651-655, Consolação, Rua Frei Caneca, 669-677, Consolação, Rua Frei Caneca, 667, Consolação;01307001, 01307001, 01307001;Consolação, Consolação, Consolação;;HMP, R2v, nR1, R2v-1, nR1-3, nR1-12;22751-22-SP-CCE;Totalmente;9229.97
1020.2022/0022150-8;Certificado de Conclusão;deferido;27/04/2023 11:34:01;SQL;043.137.0030-7;RUA SAVA, 360, SACOMÃ;04283020;SACOMÃ;;R2h, R2h-1;22778-22-SP-CCE;Totalmente;227.74
1020.2022/0022148-6;Certificado de Conclusão;deferido;29/06/2023 15:17:46;SQL;049.125.0010-0;RUA MURA, 100, VILA MARTE;04250060;VILA MARTE;;R2h, R2h-1;22781-22-SP-CCE;Totalmente;235.36
1020.2022/0022149-4;Certificado de Conclusão;deferido;09/02/2023 11:32:45;SQL;090.153.0011-9;RUA MACAÍBA, 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, LOTE 11 - QUADRA 03, VILA ISA;04689030;VILA ISA;;R2h, R2h-1;22790-22-SP-CCE;Totalmente;291.12
1020.2022/0022190-7;Certificado de Conclusão;deferido;16/06/2023 16:56:57;SQL;053.094.0062-1;RUA AGOSTINHO GIMENEZ, 99, CHÁCARA BELENZINHO;03375060;CHÁCARA BELENZINHO;;R2h, R2h-1;22799-22-SP-CCE;Totalmente;256.04
1020.2022/0022198-2;Certificado de Conclusão;deferido;15/12/2022 16:27:56;SQL;078.234.0059-6;Rua José Tobias dos Santos , 34, Lote 34 Quadra 16, Parque São Domingos;05121050;Parque São Domingos;;R2h, R2h-1;22848-22-SP-CCE;Totalmente;401.87
1020.2022/0022067-6;Certificado de Conclusão;deferido;12/12/2022 18:24:53;SQL;075.099.0031-1;Rua Artur de Oliveira, 538, Imirim;02535010;Imirim;;;22890-22-SP-CCE;Totalmente;
1020.2022/0022069-2;Certificado de Conclusão;deferido;27/01/2023 13:36:21;SQL;061.120.0031-8;Rua Leopoldo de Freitas, 758, Vila Beatriz;03645010;Vila Beatriz;;HMP;22905-22-SP-CCE;Totalmente;371.26
1020.2022/0022436-1;Certificado de Conclusão;deferido;31/05/2023 13:00:00;SQL;040.208.0022-7;RUA FREI DURÃO, S/N, VILA SÃO JOSÉ;04274000;VILA SÃO JOSÉ;;R2h, R2h-1;22923-22-SP-CCE;Totalmente;203.28
1020.2022/0022765-4;Certificado de Conclusão;deferido;08/02/2023 16:21:52;SQL;078.402.0015-1;RUA ARMANDO MARTINO, LOTE 26 QUADRA 44, PQ SÃO DOMINGOS ;05127000;PQ SÃO DOMINGOS ;;R2h, R2h-1;22946-22-SP-CCE;Totalmente;314.1
1020.2022/0022763-8;Certificado de Conclusão;deferido;09/05/2023 18:29:51;SQL;187.186.0004-1;RUA AXIBI , s/n, VILA CAIUBA ;05207060;VILA CAIUBA ;;R2h, R2h-1;22954-22-SP-CCE;Totalmente;284.26
1020.2022/0022426-4;Certificado de Conclusão;deferido;14/12/2022 16:43:18;SQL;222.035.0001-6;Rua Ushikichi Kamiya , 73;02323000;Tucuruvi;;nR2, nR1, nR2-4, nR1-3;23006-22-SP-CCE;Totalmente;289.66
1020.2022/0022754-9;Certificado de Conclusão;deferido;06/03/2023 14:35:20;SQL;059.167.0031-8;Rua Maestro José Tescari, 61, Penha de França;03655030;Penha de França;;R2h, R2h-1;23040-22-SP-CCE;Totalmente;491.1
1020.2022/0022673-9;Certificado de Conclusão;deferido;11/07/2023 19:09:47;SQL;059.110.0021-0;RUA PROFESSOR VASCONCELOS SARMENTO , 217, VILA RÉ;03662040;VILA RÉ;;R2h, R2h-1;23071-22-SP-CCE;Totalmente;345.87
1020.2022/0022660-7;Certificado de Conclusão;deferido;16/02/2023 12:34:04;SQL;102.067.0036-8;RUA SÃO JOÃO EVANGELISTA, 186, VILA SANTA CLARA;03273100;VILA SANTA CLARA;;R2h, R2h-1;23075-22-SP-CCE;Totalmente;244.61
1020.2022/0022421-3;Certificado de Conclusão;deferido;06/12/2022 18:50:16;SQL;067.169.0068-3;RUA ARAGÃO, 382, VILA MAZZEI;02308000;VILA MAZZEI;;HIS;23086-22-SP-CCE;Totalmente;1090.45
1020.2022/0022753-0;Certificado de Conclusão;deferido;05/01/2023 12:36:38;SQL;068.395.0012-8;RUA IRAGUAÇU, 05, VILA MEDEIROS;02214040;VILA MEDEIROS;;R2h, R2h-1;23094-22-SP-CCE;Totalmente;180.56
1020.2022/0022594-5;Certificado de Conclusão;deferido;24/01/2023 20:05:44;SQL;104.051.0033-6;Rua Nhandutiba, 53, Vila Picinin;02930040;Vila Picinin;;HIS;23100-22-SP-CCE;Totalmente;733.22
1020.2022/0022758-1;Certificado de Conclusão;deferido;09/03/2023 17:12:47;SQL;068.412.0004-7;RUA GEOLANDIA, 816, VILA MEDEIROS;02217000;VILA MEDEIROS;;R2h, R2h-1;23101-22-SP-CCE;Totalmente;274.94
1020.2022/0022599-6;Certificado de Conclusão;deferido;19/05/2023 18:16:48;SQL;113.252.0040-8;RUA CAVALCANTI DE ALBUQUERQUE, 168;03558010;VILA NHOCUNÉ ;;HIS;23112-22-SP-CCE;Totalmente;798.44
1020.2022/0022877-4;Certificado de Conclusão;deferido;08/02/2023 13:38:46;SQL;110.161.0059-1;RUA MONSENHOR MEIRELES, S/N, VILA CÍSPER;03758020;VILA CÍSPER;;R2h, R2h-1;23207-22-SP-CCE;Totalmente;290.56
1020.2022/0023288-7;Certificado de Conclusão;deferido;28/06/2023 15:21:21;SQL;106.009.0003-6;RUA GIACOMO CRESPI, 182, VILA MIRANTE;02957120;VILA MIRANTE;;R2h, R2h-1;23227-22-SP-CCE;Totalmente;187.42
1020.2022/0022961-4;Certificado de Conclusão;deferido;31/03/2023 16:51:48;SQL;113.593.0006-5;RUA BROOK TAYLOR , 985, JD OLIMPINHA;03690000;JD OLIMPINHA;;R2h, R2h-1;23248-22-SP-CCE;Totalmente;314.39
1020.2022/0022835-9;Certificado de Conclusão;deferido;24/01/2023 18:08:12;SQL;068.008.0205-0;RUA PAULO DE AVELAR, 340, VILA GUILHERME;02243010;VILA GUILHERME;;HIS;23298-22-SP-CCE;Totalmente;1177.52
1020.2022/0022832-4;Certificado de Conclusão;deferido;05/01/2023 14:23:24;SQL, SQL, SQL;020.002.0001-1, 020.002.0001-1, 020.002.0001-1;Avenida Doutor Abrahão Ribeiro, s/nº, Barra Funda, Rua Norma Pieruccini Giannotti, s/nº, Barra Funda, Rua do Bosque, 1088, Barra Funda;01133020, 01137010, 01136000;Barra Funda, Barra Funda, Barra Funda;;;23312-22-SP-CCE;Parcialmente;
1020.2022/0023287-9;Certificado de Conclusão;deferido;22/05/2023 18:03:28;SQL;160.185.0028-1;rua Bela Bartok, 112, Jd. Adalgiza;05386080;Jd. Adalgiza;;R2h, R2h-1;23363-22-SP-CCE;Totalmente;315.02
1020.2022/0022942-8;Certificado de Conclusão;deferido;28/07/2023 11:09:42;SQL;058.021.0003-6;AVENIDA PADRES OLIVETANOS, 742, VILA ESPERANÇA;03648000;VILA ESPERANÇA;;HIS;23374-22-SP-CCE;Totalmente;368.7
1020.2022/0023177-5;Certificado de Conclusão;deferido;11/07/2023 19:27:51;SQL;121.038.0010-8;Rua João Ferreira de Abreu, 231, Vila Arriete;04445140;Vila Arriete;;R2h, R2h-1;23377-22-SP-CCE;Totalmente;310.21
1020.2022/0023286-0;Certificado de Conclusão;deferido;09/05/2023 14:43:44;SQL;116.332.0078-6;RUA JULIO PARIGOT, 483, VILA ANTONIETA;03478007;VILA ANTONIETA;;R2h, R2h-1;23406-22-SP-CCE;Totalmente;223
1020.2022/0023419-7;Certificado de Conclusão;deferido;03/02/2023 16:01:38;SQL;044.060.0021-6;R   IGARATA, 411, VILA PRUDENTE;03151030;VP - VILA PRUDENTE;;HIS;23407-22-SP-CCE;Totalmente;705.85
1020.2022/0023747-1;Certificado de Conclusão;deferido;16/01/2023 16:04:27;SQL;045.025.0041-0;AVENIDA INDIANOPOLIS, 709, INDIANOPOLIS;04063000;INDIANOPOLIS;;;23415-22-SP-CCE;Totalmente;
1020.2022/0023294-1;Certificado de Conclusão;deferido;23/01/2023 14:42:39;SQL;120.037.0003-9;Rua Luiza Marcelina Chaib, 236, Jardim Cidália;04652190;Jardim Cidália;;R2h, R2h-1;23437-22-SP-CCE;Totalmente;244.38
1020.2022/0023322-0;Certificado de Conclusão;deferido;10/02/2023 16:29:30;SQL;152.364.0006-5;RUA FRANCISCO MARQUES, 360, PARQUE SÃO RAFAEL;08311150;PARQUE SÃO RAFAEL;;R2h, R2h-1;23454-22-SP-CCE;Totalmente;240
1020.2022/0023304-2;Certificado de Conclusão;deferido;31/01/2023 14:18:05;SQL;077.244.0030-1;Rua Doutor Pedro Jabur, 309, Lote 16 Quadra 02, Vila Bonilha;02918010;Vila Bonilha;;R2h, R2h-1;23466-22-SP-CCE;Totalmente;296.85
1020.2022/0023314-0;Certificado de Conclusão;deferido;30/01/2023 11:26:51;SQL;148.158.0001-3;RUA PDE. MANUEL RODRIGUES DA COSTA, 05, VILA RICA;03911180;VILA RICA;;R2h, R2h-1;23471-22-SP-CCE;Totalmente;301
1020.2022/0023331-0;Certificado de Conclusão;deferido;03/03/2023 18:47:46;SQL, SQL;058.162.0038-0, 058.162.0037-2;RUA PARANHOS, 269, VILA TALARICO, RUA PARANHOS, 269, VILA TALARICO;03531020, 03531020;VILA TALARICO, VILA TALARICO;;HIS, HMP;23474-22-SP-CCE;Totalmente;4033.11
1020.2022/0023318-2;Certificado de Conclusão;deferido;18/01/2023 16:16:11;SQL;051.082.0038-2;RUA MANDERA, 354, VILA ALPINA;03205020;VILA ALPINA;;R2h, R2h-1;23475-22-SP-CCE;Totalmente;344.23
1020.2022/0023337-9;Certificado de Conclusão;deferido;19/01/2023 14:25:38;SQL;113.271.0017-6;RUA CONSELHEIRO FALCAO DE SOUSA, 114, VILA MATILDE;03560110;VILA MATILDE;;R2h, R2h-1;23482-22-SP-CCE;Totalmente;229.56
1020.2022/0023044-2;Certificado de Conclusão;deferido;31/01/2024 18:56:14;SQL;100.069.0013-4;Rua Malaga, 75, Vila Prudente;03157030;Vila Prudente;;HIS;23488-22-SP-CCE;Totalmente;694.84
1020.2022/0023660-2;Certificado de Conclusão;deferido;23/01/2023 14:46:17;SQL;089.236.0028-8;Rua Emilio de Sousa Docca, 532, Vila Santa Catarina ;04379024;Vila Santa Catarina ;;R2h, R2h-1;23492-22-SP-CCE;Totalmente;559.77
1020.2022/0023115-5;Certificado de Conclusão;deferido;22/12/2022 19:05:50;SQL;070.344.0047-4; Rua Teodoro Horst,  63, Tucuruvi;02342190;Tucuruvi;;HIS;23502-22-SP-CCE;Totalmente;652.69
1020.2022/0023114-7;Certificado de Conclusão;deferido;19/01/2023 16:18:32;SQL;113.613.0012-3;Rua Brigadeiro Brito Delamare, 222, Vila Nhocuné;03566030;Vila Nhocuné;;HIS;23503-22-SP-CCE;Totalmente;637.75
1020.2022/0023668-8;Certificado de Conclusão;deferido;08/05/2024 11:45:47;SQL;036.060.0074-1;Rua  Tumiaru, 66, Vila Mariana;04008050;Vila Mariana;;nR1, nR1-2;23523-22-SP-CCE;Totalmente;149.5
1020.2022/0023392-1;Certificado de Conclusão;deferido;19/01/2023 14:23:54;SQL;055.128.0042-6;RUA GERALDO CORREIA, 300, VILA SANTA ISABEL;03425020;VILA SANTA ISABEL;;R2h, R2h-1;23546-22-SP-CCE;Totalmente;304.94
1020.2022/0023881-8;Certificado de Conclusão;deferido;02/03/2023 12:50:25;SQL;118.293.0003-1;RUA PROFESSOR MAXIMO DE MOURA SANTOS, 229, PARQUE SÃO LUCAS;03262070;PARQUE SÃO LUCAS;;R2h, R2h-1;23584-22-SP-CCE;Totalmente;242.4
1020.2022/0023566-5;Certificado de Conclusão;deferido;16/01/2023 15:07:28;SQL;306.003.0026-6;Rua Altino Antunes, 04, Vila Ester (Zona Norte);02452055;Vila Ester (Zona Norte);;R2h, R2h-1;23588-22-SP-CCE;Totalmente;294.59
1020.2022/0023204-6;Certificado de Conclusão;deferido;31/10/2023 18:29:50;SQL;019.007.0052-2;RUA GUARIPOCABA, 07, BOM RETIRO;01134020;BOM RETIRO;;HIS;23591-22-SP-CCE;Totalmente;167.16
1020.2022/0023208-9;Certificado de Conclusão;deferido;15/06/2023 14:48:13;SQL;056.116.0002-6;R   MURUTINGA DO SUL, 110, VILA GOMES CARDIM;03411120;AR - ARICANDUVA;;HIS;23616-22-SP-CCE;Totalmente;700.29
1020.2022/0023359-0;Certificado de Conclusão;deferido;11/01/2023 17:51:11;SQL;067.037.0012-5;Rua Capitão Nascimento, 412, Jaçanã;02273110;Jaçanã;;HIS;23627-22-SP-CCE;Totalmente;1025.74
1020.2022/0023583-5;Certificado de Conclusão;deferido;26/01/2023 18:05:50;SQL;037.039.0244-2;RUA FRANÇA PINTO, 616, VILA MARIANA;04016002;VILA MARIANA;;R2v, R2v-2;23631-22-SP-CCE;Totalmente;11612.01
1020.2022/0023360-3;Certificado de Conclusão;deferido;28/07/2023 11:15:46;SQL;116.219.0078-8;AV   CARNEIRO RIBEIRO, 92, JARDIM VILA FORMOSA;03461030;AR - ARICANDUVA;;HIS;23633-22-SP-CCE;Totalmente;270.84
1020.2022/0023361-1;Certificado de Conclusão;deferido;21/03/2023 16:42:02;SQL, SQL;067.181.0021-8, 067.181.0008-0;PRAÇA CAMPINÓPOLIS, 152, VILA NIVI, RUA DOUTOR CASTRO RAMOS, 110, VILA NIVI;02252160, 02252160;VILA NIVI, VILA NIVI;;HIS;23636-22-SP-CCE;Totalmente;972.33
1020.2022/0023559-2;Certificado de Conclusão;deferido;10/05/2023 10:17:09;SQL;155.129.0014-4;RUA TENENTE CORONEL MARCONDES DOS SANTOS, 59, Vila Tolstoi;03270030;Vila Tolstoi;;R2h, R2h-1;23641-22-SP-CCE;Totalmente;267.6
1020.2022/0023751-0;Certificado de Conclusão;deferido;15/02/2023 17:26:43;SQL;072.028.0002-0;RUA HORTENSIA, 42, JARDIM PERI;02432030;JARDIM PERI;;R2h, R2h-1;23646-22-SP-CCE;Totalmente;357.63
1020.2022/0023362-0;Certificado de Conclusão;deferido;09/01/2023 12:58:55;SQL;068.418.0227-6;RUA DA ESPERANÇA, 1165, VILA MEDEIROS;02208000;VILA MEDEIROS;;HIS;23651-22-SP-CCE;Totalmente;239.8
1020.2022/0023386-7;Certificado de Conclusão;deferido;02/05/2023 14:51:59;SQL;058.070.0014-5;R   PEIROPOLIS, 227, 5 fundos, Parte do Lote 14 da Quadra 25, JD GUILHERMINA;03543140;PE - PENHA;;HIS;23682-22-SP-CCE;Totalmente;691.88
1020.2022/0023700-5;Certificado de Conclusão;deferido;15/02/2023 09:53:51;SQL;056.014.0015-6;RUA SUZANO BRANDÃO, 256, VILA ARICANDUVA;03502000;VILA ARICANDUVA;;HIS;23696-22-SP-CCE;Totalmente;290.09
1020.2022/0023504-5;Certificado de Conclusão;deferido;18/01/2023 18:46:34;SQL;110.183.0009-1;RUA OLAVO EGIDIO DE SOUZA ARANHA, 480, LT 3 QD 12, ERMELINO MATARAZZO;03822000;ERMELINO MATARAZZO;;HIS;23771-22-SP-CCE;Totalmente;2924.63
1020.2022/0023594-0;Certificado de Conclusão;deferido;09/01/2023 12:58:35;SQL;109.034.0035-8;RUA ICAMAQUA, 84, TREMEMBÉ;02376010;TREMEMBÉ;;HMP;23814-22-SP-CCE;Totalmente;641.4
1020.2022/0023591-6;Certificado de Conclusão;deferido;01/06/2023 15:02:07;SQL;113.453.0012-2;R   RIO TAPACURA, 113, 117, Jardim Nordeste;03688030;PE - PENHA;;HIS;23820-22-SP-CCE;Totalmente;577.62
1020.2022/0023864-8;Certificado de Conclusão;deferido;22/12/2022 18:12:15;SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL, SQL;007.068.0301-9, 007.068.0302-7, 007.068.0303-5, 007.068.0304-3, 007.068.0305-1, 007.068.0306-1, 007.068.0307-8, 007.068.0308-6, 007.068.0309-4, 007.068.0310-8, 007.068.0311-6, 007.068.0312-4, 007.068.0313-2, 007.068.0314-0, 007.068.0315-9, 007.068.0316-7, 007.068.0317-5, 007.068.0318-3, 007.068.0319-1;Rua Marquês de Itu, 251, garagem, República, Rua Marquês de Itu, 251, loja, República, 09648-2, 255, loja, República, Rua Rego Freitas, 264, loja, República, Rua Rego Freitas, 260, cj 101, República, Rua Rego Freitas, 260, cj 201, República, Rua Rego Freitas, 260, cj 202, República, Rua Rego Freitas, 260, cj 301, República, Rua Rego Freitas, 260, cj 302, República, Rua Rego Freitas, 260, cj 401, República, Rua Rego Freitas, 260, cj 402, República, Rua Rego Freitas, 260, cj 501, República, Rua Rego Freitas, 260, cj 502, República, Rua Rego Freitas, 260, cj 601, República, Rua Rego Freitas, 260, cj 602, República, Rua Rego Freitas, 260, cj 701, República, Rua Rego Freitas, 260, cj 702, República, Rua Rego Freitas, 260, cj 801, República, Rua Rego Freitas, 260, cj 802, República;01220010, 01223001, 01223001, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010, 01220010;República, República, República, República, República, República, República, República, República, República, República, República, República, República, República, República, República, República, República;;R2v, R2v-2;23821-22-SP-CCE;Totalmente;54.8
1020.2022/0024040-5;Certificado de Conclusão;deferido;05/04/2023 13:02:02;SQL;078.181.0001-6;Rua Genesio Arruda, 495, Chácara Inglesa;05140060;Chácara Inglesa;;R2h, R2h-3;23824-22-SP-CCE;Totalmente;297.75
1020.2022/0023697-1;Certificado de Conclusão;deferido;08/03/2023 14:47:08;SQL;112.663.0066-9;Rua Cembira, 665, Vila Curuçá Velha;08030050;Vila Curuçá Velha;;HIS;23876-22-SP-CCE;Totalmente;696.79
1020.2022/0023954-7;Certificado de Conclusão;deferido;16/03/2023 11:57:05;SQL;055.077.0015-1;RUA JOAO VIEIRA PRIOSTE, 1319, VILA CARRAO;03429000;VILA CARRAO;;R2h, R2h-1;23888-22-SP-CCE;Totalmente;306.1
