n_processo;data_autuacao;assunto;coord_atual;status;data_extracao
1020.2021/0013024-1;15/09/2021 13:20:27;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0012594-9;09/09/2021 12:47:21;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0012920-0;14/09/2021 16:52:20;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;2024.03.04
1020.2021/0013138-8;15/09/2021 16:50:25;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0012595-7;09/09/2021 12:50:55;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0012921-9;14/09/2021 16:54:27;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;2024.03.04
1020.2021/0012596-5;09/09/2021 12:54:50;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0012688-0;13/09/2021 13:14:00;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0012902-2;14/09/2021 16:30:32;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;indeferido;2024.03.04
1020.2021/0014133-2;27/09/2021 16:17:50;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013286-4;17/09/2021 16:32:58;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013292-9;17/09/2021 16:43:26;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;em análise;2024.03.04
1020.2021/0012409-8;08/09/2021 15:34:12;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0013228-7;16/09/2021 16:25:18;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013303-8;17/09/2021 16:59:43;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013267-8;17/09/2021 13:30:53;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0013148-5;15/09/2021 17:05:42;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0014129-4;27/09/2021 16:12:38;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;deferido;2024.03.04
1020.2021/0013304-6;17/09/2021 17:01:14;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013201-5;16/09/2021 16:11:11;Pedido de Isenção de Taxa;CONTRU;deferido;2024.03.04
1020.2021/0014777-2;04/10/2021 16:17:01;Certificado de Acessibilidade;CONTRU;deferido;2024.03.04
1020.2021/0012431-4;08/09/2021 17:18:30;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0012602-3;09/09/2021 15:03:06;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0014783-7;04/10/2021 16:27:17;Alvará de Autorização de Avanço do Tapume Sobre Parte do Passeio Público;[];deferido;2024.03.04
1020.2021/0014552-4;30/09/2021 16:31:21;Certificado de Acessibilidade;CONTRU;deferido;2024.03.04
1020.2021/0014269-0;28/09/2021 16:36:53;Alvará de Autorização de Avanço do Tapume Sobre Parte do Passeio Público;RESID;desistido;2024.03.04
1020.2021/0013141-8;15/09/2021 16:55:06;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;2024.03.04
1020.2021/0012751-8;13/09/2021 17:32:01;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAEPP;em análise;2024.03.04
1020.2021/0012592-2;09/09/2021 10:22:37;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0012917-0;14/09/2021 16:48:19;Alvará de Autorização de Implantação e/ou Utilização de Estande de Vendas;RESID;deferido;2024.03.04
1020.2021/0012899-9;14/09/2021 16:26:34;Alvará de Execução de Demolição Total;RESID;indeferido;2024.03.04
1020.2021/0015478-7;14/10/2021 17:08:27;Alvará de Execução de Demolição Total;CAEPP;em análise;2024.03.04
1020.2021/0012891-3;14/09/2021 13:59:02;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1020.2021/0012604-0;09/09/2021 15:08:09;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013253-8;16/09/2021 16:59:28;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0012606-6;09/09/2021 15:11:06;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0013223-6;16/09/2021 16:22:30;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;desistido;2024.03.04
1020.2022/0001137-6;31/01/2022 10:29:16;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0012904-9;14/09/2021 16:31:49;Pedido de Isenção de Taxa;CONTRU;deferido;2024.03.04
1020.2021/0013219-8;16/09/2021 16:20:33;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;desistido;2024.03.04
1020.2021/0012697-0;13/09/2021 14:57:12;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013254-6;16/09/2021 17:01:45;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013302-0;17/09/2021 16:58:12;Alvará para Desmembramento/ Remembramento/ Reparcelamento;PARHIS;deferido;2024.03.04
1020.2021/0014264-9;28/09/2021 16:28:36;Pedido de Isenção de Taxa;CONTRU;deferido;2024.03.04
1020.2021/0013255-4;16/09/2021 17:28:30;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0015005-6;06/10/2021 16:18:24;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013305-4;17/09/2021 17:02:40;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAEPP;em análise;2024.03.04
1020.2022/0014409-0;10/08/2022 16:17:30;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2022/0000577-5;18/01/2022 15:41:05;Certificado de Segurança;CONTRU;em análise;2024.03.04
1020.2021/0013454-9;21/09/2021 16:58:03;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;em análise;2024.03.04
1020.2021/0014555-9;30/09/2021 16:35:33;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0013240-6;16/09/2021 16:32:24;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;2024.03.04
1020.2021/0013284-8;17/09/2021 16:29:45;Pedido de Isenção de Taxa;CONTRU;deferido;2024.03.04
1020.2021/0013283-0;17/09/2021 16:28:15;Pedido de Isenção de Taxa;CONTRU;deferido;2024.03.04
1020.2022/0000624-0;19/01/2022 15:34:20;Alvará de Funcionamento de Local de Reunião;CONTRU;em análise;2024.03.04
1020.2021/0013285-6;17/09/2021 16:31:30;Pedido de Isenção de Taxa;CONTRU;deferido;2024.03.04
1020.2021/0013669-0;22/09/2021 16:33:07;Certificado de Estanqueidade;CONTRU;deferido;2024.03.04
1020.2021/0013147-7;15/09/2021 17:03:47;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013146-9;15/09/2021 17:02:28;Alvará de Execução de Demolição Total;RESID;em análise;2024.03.04
1020.2021/0013459-0;21/09/2021 17:06:56;Certificado de Acessibilidade;CONTRU;indeferido;2024.03.04
1020.2021/0012624-4;09/09/2021 20:25:25;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0014267-3;28/09/2021 16:33:47;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0017869-4;23/11/2021 16:23:26;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;em análise;2024.03.04
1020.2021/0013252-0;16/09/2021 16:57:40;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);CAEPP;em análise;2024.03.04
1020.2021/0013291-0;17/09/2021 16:42:08;Alvará de Execução de Demolição Total;COMIN;desistido;2024.03.04
1020.2021/0013460-3;21/09/2021 17:07:57;Certificado de Segurança;CONTRU;deferido;2024.03.04
1020.2021/0015938-0;20/10/2021 16:14:59;Pedido de Isenção de Taxa;CONTRU;desistido;2024.03.04
1020.2021/0013274-0;17/09/2021 16:08:45;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013242-2;16/09/2021 16:34:55;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013295-3;17/09/2021 16:47:46;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;desistido;2024.03.04
1020.2021/0013293-7;17/09/2021 16:44:53;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013476-0;21/09/2021 17:38:27;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;indeferido e encerrado;2024.03.04
1020.2021/0013472-7;21/09/2021 17:23:33;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013289-9;17/09/2021 16:38:07;Certificado de Segurança;CONTRU;deferido;2024.03.04
1020.2021/0012664-3;10/09/2021 13:28:43;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0013144-2;15/09/2021 16:59:24;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0012665-1;10/09/2021 13:58:48;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0013463-8;21/09/2021 17:12:23;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;indeferido;2024.03.04
1020.2021/0012694-5;13/09/2021 14:48:33;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0013134-5;15/09/2021 16:43:17;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0013456-5;21/09/2021 17:01:40;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0013243-0;16/09/2021 16:36:24;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAEPP;em análise;2024.03.04
1020.2021/0013300-3;17/09/2021 16:55:20;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);CAEPP;deferido;2024.03.04
1020.2021/0013241-4;16/09/2021 16:33:43;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido e encerrado;2024.03.04
1020.2021/0013817-0;23/09/2021 16:32:28;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);RESID;indeferido;2024.03.04
1020.2021/0015159-1;08/10/2021 09:35:42;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);CAEPP;indeferido;2024.03.04
1020.2021/0015068-4;07/10/2021 13:12:32;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0012671-6;13/09/2021 08:20:34;Alvará de Desmembramento + Alvará de Aprovação e Execução de Edificação Nova (Plano integrado);[];desistido;2024.03.04
1020.2021/0013294-5;17/09/2021 16:46:20;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAEPP;deferido;2024.03.04
1020.2021/0012667-8;10/09/2021 17:54:08;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0013833-1;23/09/2021 17:00:50;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);SERVIN;indeferido;2024.03.04
1020.2021/0012706-2;13/09/2021 15:35:15;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0015466-3;14/10/2021 16:16:47;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0012691-0;13/09/2021 14:12:11;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0015733-6;18/10/2021 16:06:51;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0015632-1;15/10/2021 16:26:40;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013251-1;16/09/2021 16:56:07;Alvará de Execução de Demolição Total;RESID;em análise;2024.03.04
1020.2021/0013668-1;22/09/2021 16:31:58;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013675-4;22/09/2021 16:47:07;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013670-3;22/09/2021 16:35:43;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0015152-4;08/10/2021 09:22:32;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;2024.03.04
1020.2021/0013290-2;17/09/2021 16:39:35;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;2024.03.04
1020.2021/0012698-8;13/09/2021 14:59:53;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0013297-0;17/09/2021 16:51:45;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013458-1;21/09/2021 17:05:58;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;deferido;2024.03.04
1020.2021/0012685-6;13/09/2021 10:51:28;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0013296-1;17/09/2021 16:49:07;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013466-2;21/09/2021 17:16:04;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAEPP;em análise;2024.03.04
1020.2021/0013288-0;17/09/2021 16:36:33;Certificado de Estanqueidade;CONTRU;deferido;2024.03.04
1020.2021/0019139-9;17/12/2021 16:21:34;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0016132-5;22/10/2021 16:45:50;Alvará de Execução de Demolição Total;RESID;deferido;2024.03.04
1020.2021/0012686-4;13/09/2021 11:33:39;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0012687-2;13/09/2021 12:21:47;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0013816-1;23/09/2021 16:30:53;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);CAEPP;em análise;2024.03.04
1020.2021/0013149-3;15/09/2021 17:07:05;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0015162-1;08/10/2021 09:47:56;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAEPP;em análise;2024.03.04
1020.2021/0015845-6;19/10/2021 17:00:33;Alvará de Funcionamento de Local de Reunião;CONTRU;deferido;2024.03.04
1020.2021/0013461-1;21/09/2021 17:10:08;Alvará de Autorização de Implantação e/ou Utilização de Estande de Vendas;[];desistido;2024.03.04
1020.2021/0013660-6;22/09/2021 15:28:12;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0013465-4;21/09/2021 17:14:44;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0013467-0;21/09/2021 17:17:18;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAEPP;deferido;2024.03.04
1020.2021/0012708-9;13/09/2021 15:59:18;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0013306-2;17/09/2021 17:04:19;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;indeferido;2024.03.04
1020.2021/0012718-6;13/09/2021 16:37:25;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];deferido;2024.03.04
1020.2021/0012723-2;13/09/2021 16:48:31;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0012741-0;13/09/2021 17:21:25;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];deferido;2024.03.04
1020.2021/0012892-1;14/09/2021 14:11:00;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0012782-8;13/09/2021 17:54:51;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0018694-8;08/12/2021 16:37:20;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0012811-5;13/09/2021 18:46:14;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0013271-6;17/09/2021 16:02:19;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0012908-1;14/09/2021 16:37:38;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0012913-8;14/09/2021 16:41:29;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013982-6;24/09/2021 17:21:58;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013970-2;24/09/2021 16:59:12;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0012812-3;13/09/2021 21:38:43;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0016408-1;27/10/2021 17:42:03;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0016402-2;27/10/2021 17:41:03;Alvará para Desmembramento/ Remembramento/ Reparcelamento;CONTRU;em análise;2024.03.04
1020.2021/0013477-8;21/09/2021 17:39:54;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0013470-0;21/09/2021 17:21:14;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0012903-0;14/09/2021 16:31:09;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013471-9;21/09/2021 17:22:31;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0012888-3;14/09/2021 10:19:01;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0012889-1;14/09/2021 10:49:20;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0012890-5;14/09/2021 11:00:55;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];indeferido e encerrado;2024.03.04
1020.2021/0012906-5;14/09/2021 16:34:08;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013021-7;15/09/2021 12:42:48;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0014553-2;30/09/2021 16:32:32;Certificado de Acessibilidade;CONTRU;indeferido;2024.03.04
1020.2021/0019251-4;20/12/2021 16:22:31;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;em análise;2024.03.04
1020.2021/0015470-1;14/10/2021 16:25:48;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0013022-5;15/09/2021 12:48:17;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013468-9;21/09/2021 17:18:44;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013023-3;15/09/2021 13:13:42;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0013478-6;21/09/2021 17:41:36;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;2024.03.04
1020.2021/0013479-4;21/09/2021 17:43:02;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;deferido;2024.03.04
1020.2021/0015734-4;18/10/2021 16:10:42;Certificado de Acessibilidade;CONTRU;indeferido;2024.03.04
1020.2021/0014683-0;01/10/2021 16:44:57;Alvará de Autorização de Avanço de Grua Sobre o Espaço Público;[];deferido;2024.03.04
1020.2021/0013469-7;21/09/2021 17:20:09;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0015151-6;08/10/2021 09:08:11;Alvará de Execução de Demolição Total;COMIN;deferido;2024.03.04
1020.2021/0013677-0;22/09/2021 16:51:41;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;desistido;2024.03.04
1020.2021/0013678-9;22/09/2021 16:58:17;Alvará de Autorização de Implantação e/ou Utilização de Estande de Vendas;[];deferido;2024.03.04
1020.2021/0013681-9;22/09/2021 17:08:19;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);COMIN;indeferido;2024.03.04
1020.2021/0013811-0;23/09/2021 16:17:12;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0013686-0;22/09/2021 17:15:03;Alvará de Aprovação de Reforma (Exceto HIS/ HMP);SERVIN;indeferido e encerrado;2024.03.04
1020.2021/0013474-3;21/09/2021 17:34:41;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013831-5;23/09/2021 16:58:09;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0013070-5;15/09/2021 15:49:22;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0017956-9;24/11/2021 16:17:36;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);COMIN;indeferido;2024.03.04
1020.2022/0002021-9;16/02/2022 16:27:00;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;indeferido;2024.03.04
1020.2021/0013814-5;23/09/2021 16:26:29;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);CAEPP;em análise;2024.03.04
1020.2021/0013960-5;24/09/2021 16:16:11;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;deferido;2024.03.04
1020.2021/0013810-2;23/09/2021 16:16:05;Certificado de Estanqueidade;CONTRU;deferido;2024.03.04
1020.2021/0013156-6;16/09/2021 14:11:28;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;2024.03.04
1020.2021/0013480-8;21/09/2021 19:18:33;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013481-6;21/09/2021 19:20:32;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);SERVIN;deferido;2024.03.04
1020.2021/0019055-4;15/12/2021 16:33:39;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);CAEPP;em análise;2024.03.04
1020.2021/0013158-2;16/09/2021 14:55:22;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013482-4;21/09/2021 19:22:15;Alvará para Desmembramento/ Remembramento/ Reparcelamento;RESID;deferido;2024.03.04
1020.2021/0013164-7;16/09/2021 15:37:13;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013231-7;16/09/2021 16:26:43;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013483-2;21/09/2021 19:25:01;Alvará de Execução de Demolição Total;CAEPP;em análise;2024.03.04
1020.2021/0013659-2;22/09/2021 13:35:06;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2021/0013151-5;15/09/2021 20:47:04;Alvará de Aprovação e Execução de Edificação Nova - Processo Declaratório;[];deferido;2024.03.04
1020.2021/0014778-0;04/10/2021 16:19:41;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0013825-0;23/09/2021 16:47:19;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);RESID;indeferido;2024.03.04
1020.2021/0013819-6;23/09/2021 16:36:32;Alvará de Execução de Demolição Total;RESID;desistido;2024.03.04
1020.2021/0013673-8;22/09/2021 16:41:53;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;2024.03.04
1020.2021/0013207-4;16/09/2021 16:14:04;Alvará de Aprovação de Edificação Nova (HIS/ HMP);PARHIS;desistido;2024.03.04
1020.2021/0016065-5;21/10/2021 16:35:36;Alvará de Aprovação de Reforma (Exceto HIS/ HMP);CAEPP;em análise;2024.03.04
1020.2021/0013215-5;16/09/2021 16:18:57;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;2024.03.04
1020.2022/0003080-0;09/03/2022 12:45:54;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
1020.2021/0014547-8;30/09/2021 13:10:43;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0016117-1;22/10/2021 16:12:47;Cadastro de tanque de armazenagem, bomba, filtro de combustível e equipamentos afins;CONTRU;deferido;2024.03.04
1020.2021/0013815-3;23/09/2021 16:29:13;Alvará de Execução de Edificação Nova (Exceto HIS/ HMP);COMIN;deferido;2024.03.04
1020.2021/0014782-9;04/10/2021 16:24:20;Pedido de Isenção de Taxa;CONTRU;indeferido;2024.03.04
1020.2021/0013276-7;17/09/2021 16:10:57;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2021/0013684-3;22/09/2021 17:12:21;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);CAEPP;em análise;2024.03.04
1020.2021/0016980-6;09/11/2021 00:09:24;Alvará de Aprovação de Reforma (HIS/ HMP);PARHIS;em análise;2024.03.04
1020.2022/0003082-6;09/03/2022 12:49:24;Certificado de Acessibilidade;CONTRU;em análise;2024.03.04
